Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,15-09-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,2256838857.61,2069870129.87,1272835453.43,1201312829.28,1315158636.68,1468317435.20,1596968946.24,1639492444.76,1893726437.26,1845482173.03,1911563668.85,2118467913.38,2376335048.40,2807061008.69,3576615240.42,4900469950.09,6384451606.14,9206301700.40,11662040713.88,8647936747.99,9260284937.80,10142111334.50,10619320048.59,11121465767.41,11609512939.75,10553337672.99,10546135160.03,11527458565.73,12457941907.03,13672802157.83,12645459213.52
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,512000000.00,524000000.00,509000000.00,500000000.00,493000000.00,518000000.00,560000000.00,675000000.00,573000000.00,570000000.00,640000000.00,638000000.00,643000000.00,673000000.00,671000000.00,612000000.00,641000000.00,638000000.00,
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77.50,87.88,109.08,131.43,147.84,164.37,182.14,208.37,240.92,290.44,337174861.85,398637727.78,438794788.52,459470370.37,481707407.41,499281481.48,535174074.07,589429629.63,577281481.48,633729629.63,680618518.52,727859259.26,766200000.00,826370370.37,800481481.48,814381481.48,856396296.30,919729629.63,1022962962.96,1157662962.96,1312759259.26,1370070370.37,1228329629.63,1148700000.00,1137637037.04,1199948148.15,1181448148.15,1249733333.33,1336692592.59,1436585185.19,1467977777.78,1605351851.85,1661962962.96,1415059259.26
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,18577.67,19652.82,19892.49,21507.45,23764.14,25936.84,27268.45,30397.58,32665.47,36628.96,41271.14,45149.51,51967.29,63737.35,88831.25,97171.92,104921.22,110201.88,118338.60,134712.03,149776.04,176642.28,193770.27,177030.42,193242.17,180235.48,182036.93,189061672842.77,235658469150.18,299272046250.31,310781069642.17,325315909269.29,324884257479.04,311549325463.74,322213766862.68,367216364716.37,400302731411.23,434568007512.91,398899138574.24,388608221581.65,415222633925.77,378376086723.19,394648911678.53,466488060570.76,612490396927.02,693407758231.85,746054207846.66,853099630996.31,1053995523724.26,927805183330.88,1146138465603.81,1396649906339.35,1546151783872.96,1576184467015.49,1467483705131.74,1351693984524.50,1208846993739.99,1329188475752.32,1432881172002.17,1396567014733.23,1330900925056.98
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,6592.69,7311.75,7756.11,8374.18,9169.98,9994.07,10887.68,11579.43,12440.63,13582.80,15373.01,17858.49,22059.61,29515.47,35189.30,40059.21,42959.98,51545.76,62052.26,73937.30,82058.91,71034.23,71275.29,72121.02,67985.34,69386.77,99036.16,124168442533.74,133339397080.13,133105805512.22,166463386179.35,173794177961.11,195078126721.76,190379720809.18,203535242741.84,241038283062.65,237250948791.27,212790348404.56,218259904401.96,217185787342.85,196799778883.36,197337879194.63,213377771503.86,261695778781.04,300904221504.84,315974418604.65,335998557270.10,388691445387.35,430294287388.31,400172297860.52,391892746544.69,431120310088.82,409425234155.26,430068712971.87,441996131736.51,381817565893.57,395568644341.04,416207272209.54,454872626780.01,445075391688.16,428965397959.46
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,446305555.56,1570000000.00,1193312101.91,2417355840.04,3176333837.03,3962238113.16,4446368570.69,4581432038.83,5272798390.70,5707720390.85,6235856819.58,7276753894.72,8680370408.06,13245716099.01,20982986344.30,33050343782.78,48852482960.08,44291490420.50,52909294791.93,65951627200.20,69683935845.21,74164435946.46,75244294275.15,53074370486.04,37867518957.20,40865558912.39,47112941176.47,48174235294.12,42607176470.59
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,196.00,203.00,213.50,232.75,260.75,158.99,165.44,178.30,183.20,190.21,242.73,252.84,246.80,304.34,345.26,420.99,448.41,547.54,610.23,782.50,919.73,969.05,1013.22,1082.93,987.14,1149.98,1201.73,1131466494.01,1082403219.49,1113924130.41,1132101252.52,1167398478.35,1083037670.60,938632612.03,925030590.15,1000428393.89,869033856.32,972896267.92,893770806.08,808077223.37,870486065.88,876794723.07,825394490.16,784654423.62,915257323.40,1117113045.65,1273375020.27,1356199364.86,1611835901.91,1781455092.07,2032135191.46,2235820808.73,2333308059.02,2451625280.20,2705783330.39,3104394792.28,2959641046.92,3172292379.36,3036937141.27,3012308945.63,3258187232.63
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,11658.72,12400.15,13264.02,14260.02,15960.11,17371.46,18651.88,19992.04,21376.35,23710.74,26706.20,29821.66,37209.42,47743.80,56033.08,65678.19,71113.88,82839.91,101246.53,116315.46,126829.31,104730.02,92095.93,87184.24,83349.53,86268.26,120018.79,149394404105.89,162299103675.26,164221056511.06,205331747947.85,210510999409.33,234781652446.68,224721795708.96,244884129491.20,288025588396.28,279201433224.76,252708051420.84,258528339631.03,258158533986.79,236204532891.10,236541297539.15,257157820440.43,317381715575.62,368537000248.32,385570948886.95,407918078032.87,470324254037.78,515223524241.98,481345929424.84,480951629493.03,522645519183.59,496181260258.30,521642714407.84,534678075827.36,462149679343.82,475739588764.76,501522868356.44,543410654016.60,533254518108.23,515332499627.86
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,226.20,235.67,236.43,253.93,269.82,289.91,302.93,306.22,326.32,330.75,333.63,335.07,410.33,504.38,554.65,676.87,698.41,750.05,928.84,1186.23,1405.25,1291.12,1267.78,1095.35,1051.13,1045.71,1336.10,1562412030.35,1620246187.15,1502294411.46,1959965243.76,1986437859.90,1695315305.70,2274557914.07,1598075944.86,2169627138.35,2361116448.14,2268301645.09,2455092688.15,3677393996.84,3519991440.32,3666222633.84,4194342689.26,5349258092.89,6190270377.08,6567654958.75,7034111316.30,8169048374.71,9787734516.74,9738626509.93,9535345011.49,10693321370.04,11141358105.99,12517845127.68,13284527850.26,11388160997.11,11821065852.13,12701655845.96,14250987026.05,14391686309.03,15651545208.88
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,330.44,350.25,379.57,394.04,410.32,422.92,433.89,450.75,460.44,478.30,458.40,482.41,578.60,674.77,751.13,939.97,976.55,1131.22,1475.58,1748.48,1928.72,1775.84,1754.45,1600.28,1459.88,1552.49,2036.30,2369834650.09,2616040645.87,2615587725.77,3101300641.88,3135045684.10,3356692517.86,3199536227.95,1895290623.44,2379518099.23,2586550747.10,2447668984.53,2804902248.29,3389566982.52,2968369991.47,3190371050.46,3622350203.95,4740768355.23,5451688868.43,6146352742.03,6547420133.70,7625723123.55,9451436358.97,9450697335.54,10109618964.28,12080296644.06,12561016091.47,13444301139.14,13943016923.90,11832159275.60,12833363370.17,14106956830.09,16059910870.62,15990803570.00,17369059295.22
