Country Name,Year,LowerSecondaryAttainment,UpperSecondaryAttainment,BachelorsAttainment,MastersAttainment,DoctoralAttainment,GDP_Millions,%_expenditure_gdp
Costa Rica,2014,54.66732025,40.21863937,22.78627014,2.341840029,0.15278924,52016408951,6.869520187
Costa Rica,2015,53.06430054,37.99145889,21.30458069,2.70746994,0.16918274,56441917653,7.082540035
Costa Rica,2016,53.1069603,38.29613876,20.63398933,2.648960114,0.191823699,58847016045,7.097680092
Costa Rica,2017,54.44488338,39.44997308,21.11591939,2.75673008,0.26918963,60516043590,7.06689067
Costa Rica,2018,54.55846024,39.65673065,21.30971909,2.822930098,0.3147499859,62335931465,6.978569984
Costa Rica,2019,55.81766773,40.36797241,20.48756671,2.95901814,0.390167243,63951114302,6.61126325
Cyprus,2010,75.84166718,65.45372009,22.71627241,6.88992451,0.44992917,25732432719,6.54279995
Cyprus,2011,77.22283173,67.78410339,23.40840278,7.54685241,0.49228471,27565469098,6.538539886
Cyprus,2012,78.70480347,68.92121124,24.10053315,8.20378031,0.53464026,24978513427,6.48556431
Cyprus,2013,79.697052,69.89254761,24.8877697,8.86070821,0.5351799726,23900872626,6.483779907
Cyprus,2014,78.95928192,69.49954987,25.96552086,9.501049995,0.6168900132,23156850007,6.448500156
Cyprus,2015,78.63918304,69.05065155,25.5467205,10.33376026,0.7251499891,19842404305,6.346360207
Cyprus,2016,80.31255341,71.16316223,26.61514091,10.62586975,0.7183600068,20953442550,6.163799763
Cyprus,2017,80.98461684,71.9438554,27.56118501,11.48841981,0.74641798,23752262000,6.2072743
Cyprus,2018,81.77329254,72.98143768,28.56159973,12.20835972,0.755309999,25309818139,6.1516163
Cyprus,2019,82.22359977,73.48492648,28.94544575,12.8022756,0.83112906,24949065264,6.0959583
Czech Republic,2010,99.82282257,87.99365997,15.94225636,12.49444924,0.37801191,209069940963,4.064459801
Czech Republic,2011,99.81562042,88.3989563,16.64185296,13.03619614,0.41725293,229562733399,4.272140026
Czech Republic,2012,99.81665802,88.52554321,17.34144955,13.57794304,0.45649394,208857719321,4.250860214
Czech Republic,2013,99.7996521,89.15956879,18.04104614,14.11968995,0.49573496,211685616593,4.090889931
Czech Republic,2014,99.81548309,89.63336182,18.82673073,14.75035,0.5042399764,209358834156,3.994620085
Czech Republic,2015,99.80766296,89.77071381,19.34180069,15.03689957,0.6006799936,188033050460,5.788849831
Czech Republic,2016,99.80445862,90.22885895,20.07844925,15.81075954,0.6527400017,196272068576,5.587379932
Czech Republic,2017,99.94582367,91.14514923,20.91316986,16.29821968,0.6176900268,218628940952,3.854020119
Czech Republic,2018,99.87106078,91.25443595,21.53902912,16.82842445,0.69194004,248950103352,4.0033036
Czech Republic,2019,99.88051369,91.6760936,22.23862571,17.37017135,0.73118106,252498032247,4.11783719
Denmark,2010,99.84591751,74.93997955,26.04061476,7.61722518,0.04030613,321995279402,8.559550285
Denmark,2011,98.9303785,75.47676086,26.84662394,8.26046342,0.0858853,344003137611,8.48486042
Denmark,2012,99.64360046,76.00238037,27.65263312,8.90370165,0.09611569,327148943812,7.237820148
Denmark,2013,99.58493805,76.54907227,28.45864231,9.54693988,0.10235716,343584391648,8.494429588
Denmark,2014,91.48561096,76.83499908,28.97826958,10.09982014,0.27083001,352993631618,7.634850025
Denmark,2015,92.06758118,77.74913788,30.38372993,10.93929005,0.6488000154,302673070847,7.53035269
Denmark,2016,92.4495697,78.18444061,30.97982979,11.49855995,0.8351899981,313115929314,7.34636955
Denmark,2017,92.23714447,78.71168661,31.68267904,12.1198928,0.77624856,332121063806,7.16238642
Denmark,2018,93.80911255,79.27773285,32.35884094,12.72570992,0.7786399722,356879499798,6.97840328
Denmark,2019,90.00606646,79.79901917,33.2946974,13.40636927,1.11319425,347561349211,6.79442015
Finland,2010,97.12387012,70.44805908,19.94398511,9.87893981,0.94371559,249181190476,6.504449844
Finland,2011,97.40812765,71.20155334,20.57177054,10.16785508,0.9721895,275243697751,6.445049763
Finland,2012,97.79811462,71.95372772,21.1388092,10.42317009,0.9987300038,258304834622,7.148039818
Finland,2013,98.10265377,72.81208038,21.89092064,10.78516006,1.031540036,271285280621,7.124040127
Finland,2014,98.19560321,73.56877136,22.50554085,11.06645966,1.059859991,274497230803,7.102369785
Finland,2015,98.31290734,74.01706696,23.03199959,11.28077984,1.082739949,234440080998,7.032080173
Finland,2016,98.60173521,74.85539683,23.71069767,11.61243145,1.11455901,240607907010,6.84356276
Finland,2017,98.91623846,75.52355957,24.33614922,11.90635014,1.143659949,255016517538,6.376210213
Finland,2018,99.01865321,76.30169278,24.96626852,12.190262,1.17150682,275580448365,6.86083272
Finland,2019,99.218539,77.02484075,25.59405395,12.47917728,1.19998072,268782471380,6.8694677
France,2010,79.21469116,61.89693832,14.8536,6.8568676,0.55342205,2642609548930,5.61
France,2011,79.81372833,62.7715683,15.31029,7.23368664,0.59453805,2861408170265,5.53
France,2012,80.48766327,63.74972153,15.76697,7.61050568,0.63565404,2683825225093,5.53
France,2013,81.50099945,66.3351593,16.2236,7.98732471,0.67677003,2811077725704,5.44
France,2014,82.63316345,68.53022003,16.39295006,8.351519585,0.712890029,2852165760630,5.44
France,2015,83.20343018,69.43743134,17.66307068,8.767310143,0.7641400099,2438207896252,5.41
France,2016,83.68582916,69.66562653,17.40369987,9.102959633,0.8048300147,2471285607082,5.43
France,2017,84.21479797,70.07549286,18.00167084,9.495699883,0.8363800049,2588740901640,5.451600075
France,2018,85.25361197,72.50303923,18.50704575,9.87141991,0.88235,2789593979065,5.413
France,2019,86.01123955,73.82421022,18.9637,10.24823895,0.92346599,2728870246706,5.35
Georgia,2010,94.86795885,90.35597643,28.279786,27.30390404,0.10861812,12243505583,1.23036077
Georgia,2011,95.305021,90.75154721,29.05782525,27.34628423,0.16265694,15107441447,1.58924861
Georgia,2012,95.59430695,90.92549896,30.17271042,27.3010006,0.2345699966,16488403076,1.906100035
Georgia,2013,96.1791453,91.54268879,30.61390376,27.4310446,0.27073458,17189551521,2.3070243
Georgia,2014,96.70864868,92.06716156,30.86433029,27.42198944,0.3015800118,17627003455,2.66591214
Georgia,2015,97.0532696,92.33383036,32.16998226,27.51580497,0.37881222,14953950557,3.02479998
Georgia,2016,97.95188904,93.45079041,32.8466301,28.15081024,0.4130600095,15141758567,3.593869925
Georgia,2017,97.52117157,92.49629974,34.01821899,27.14703941,0.5120000243,16242916916,3.574429989
Georgia,2018,98.36445605,93.52054273,34.50410002,27.64294553,0.54092867,17599700091,4.10146351
